Torso_Lower,Torso_Upper,Head_Neck,L_UpperLeg,L_LowerLeg,R_UpperLeg,R_LowerLeg,L_UpperArm,L_LowerArm,R_UpperArm,R_LowerArm
"[0.010286, 0.005335, 0.999933]","[0.182665, -0.002682, 0.983172]","[-0.001170, -0.200974, 0.979596]","[-0.279029, 0.007124, -0.960256]","[-0.279740, -0.188083, -0.941472]","[0.152197, 0.094404, -0.983831]","[-0.166375, 0.004199, -0.986054]","[-0.910586, 0.411502, -0.038723]","[-0.577045, 0.658932, -0.482523]","[0.418647, 0.550132, 0.722557]","[0.705591, 0.234242, 0.668784]"
"[0.050475, 0.019451, 0.998536]","[0.179782, -0.017640, 0.983548]","[-0.022562, -0.217797, 0.975733]","[-0.249104, 0.003620, -0.968470]","[-0.283496, -0.218886, -0.933659]","[0.172840, 0.053025, -0.983522]","[-0.198014, -0.013382, -0.980108]","[-0.913318, 0.407160, 0.008411]","[-0.581981, 0.659573, -0.475670]","[0.420603, 0.541635, 0.727822]","[0.721572, 0.267970, 0.638378]"
"[0.062790, 0.005907, 0.998009]","[0.183237, -0.026683, 0.982707]","[-0.017241, -0.221366, 0.975038]","[-0.240403, -0.001943, -0.970671]","[-0.285221, -0.228404, -0.930849]","[0.166985, -0.008228, -0.985925]","[-0.224870, -0.030308, -0.973917]","[-0.927727, 0.372424, 0.024949]","[-0.584598, 0.661759, -0.469383]","[0.401313, 0.578929, 0.709781]","[0.744584, 0.265712, 0.612366]"
"[0.068342, -0.014341, 0.997559]","[0.189724, -0.049080, 0.980610]","[0.005980, -0.174922, 0.984564]","[-0.220419, 0.039465, -0.974607]","[-0.288982, -0.234294, -0.928222]","[0.174038, -0.013156, -0.984651]","[-0.240239, -0.028258, -0.970302]","[-0.902481, 0.430464, 0.015112]","[-0.565439, 0.679483, -0.467528]","[0.296690, 0.632312, 0.715651]","[0.790520, 0.261817, 0.553652]"
"[0.047078, -0.055247, 0.997362]","[0.194986, -0.058979, 0.979031]","[0.026277, -0.129029, 0.991293]","[-0.203701, 0.094377, -0.974474]","[-0.298749, -0.236898, -0.924461]","[0.217129, 0.036379, -0.975465]","[-0.255811, 0.009396, -0.966681]","[-0.871524, 0.489288, -0.032300]","[-0.509006, 0.685287, -0.520859]","[0.225970, 0.573237, 0.787615]","[0.787127, 0.275966, 0.551611]"
"[0.045357, -0.061192, 0.997095]","[0.183454, -0.065396, 0.980851]","[0.027939, -0.113127, 0.993188]","[-0.195387, 0.110008, -0.974537]","[-0.323478, -0.241736, -0.914836]","[0.266715, 0.067832, -0.961385]","[-0.260360, -0.034321, -0.964902]","[-0.883466, 0.467520, -0.030214]","[-0.498750, 0.711739, -0.494648]","[0.252736, 0.561483, 0.787948]","[0.694491, 0.236240, 0.679613]"
"[0.043170, -0.055084, 0.997548]","[0.188180, -0.049769, 0.980873]","[0.014947, -0.088327, 0.995979]","[-0.208538, 0.085659, -0.974256]","[-0.321565, -0.225732, -0.919588]","[0.263212, 0.010940, -0.964676]","[-0.254177, -0.077933, -0.964013]","[-0.880829, 0.470059, -0.056435]","[-0.513514, 0.711755, -0.479279]","[0.286938, 0.595992, 0.749973]","[0.571261, 0.244164, 0.783610]"
"[0.051842, -0.052032, 0.997299]","[0.171089, -0.048533, 0.984059]","[-0.013259, -0.106547, 0.994219]","[-0.242387, 0.044576, -0.969155]","[-0.303741, -0.210984, -0.929100]","[0.217146, -0.070461, -0.973593]","[-0.227197, -0.101705, -0.968523]","[-0.865201, 0.495366, -0.077721]","[-0.581025, 0.681395, -0.445095]","[0.393983, 0.558896, 0.729666]","[0.440941, 0.186566, 0.877932]"
"[0.054459, -0.061741, 0.996605]","[0.147703, -0.035796, 0.988384]","[-0.017666, -0.151218, 0.988343]","[-0.290859, 0.013610, -0.956669]","[-0.295224, -0.172245, -0.939774]","[0.199931, -0.133631, -0.970655]","[-0.226169, -0.151709, -0.962202]","[-0.877021, 0.463248, -0.127419]","[-0.682989, 0.626680, -0.375231]","[0.476158, 0.457999, 0.750673]","[0.421863, 0.102135, 0.900889]"
"[0.045540, -0.080770, 0.995692]","[0.128802, -0.024742, 0.991362]","[-0.001043, -0.115224, 0.993339]","[-0.330541, 0.005402, -0.943776]","[-0.278255, -0.134212, -0.951084]","[0.205137, -0.143096, -0.968216]","[-0.212079, -0.147893, -0.965997]","[-0.875756, 0.466234, -0.125211]","[-0.665181, 0.677356, -0.314204]","[0.455585, 0.426612, 0.781309]","[0.380231, 0.095521, 0.919946]"
