frame,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32
frame_000331.jpg,"('0.6398', '0.1852', '0.4361')","('0.6694', '0.1629', '0.4890')","('0.6771', '0.1665', '0.4879')","('0.6840', '0.1716', '0.4880')","('0.6460', '0.1469', '0.4435')","('0.6366', '0.1403', '0.4417')","('0.6274', '0.1329', '0.4404')","('0.6747', '0.1682', '0.7411')","('0.5979', '0.1155', '0.5381')","('0.6263', '0.2070', '0.5517')","('0.5959', '0.1875', '0.4814')","('0.5886', '0.3099', '0.8530')","('0.4226', '0.1575', '0.4042')","('0.5406', '0.5436', '0.8612')","('0.3196', '0.3424', '-0.0478')","('0.6395', '0.5159', '0.5175')","('0.5975', '0.4307', '-0.3957')","('0.6501', '0.5139', '0.4804')","('0.6852', '0.3858', '-0.5398')","('0.7095', '0.3925', '0.4321')","('0.7028', '0.4394', '-0.4503')","('0.7010', '0.3926', '0.4970')","('0.6771', '0.4214', '-0.3744')","('0.1150', '0.6907', '0.1262')","('-0.0275', '0.5787', '-0.1280')","('-0.1827', '1.1510', '0.0040')","('-0.3526', '0.9142', '-0.2481')","('-0.5640', '1.5036', '0.3245')","('-0.7791', '1.2676', '0.2220')","('-0.6032', '1.5505', '0.3423')","('-0.8457', '1.3120', '0.2683')","('-0.7818', '1.5744', '-0.0271')","('-0.8787', '1.4171', '-0.0286')"
frame_000332.jpg,"('0.6230', '0.1353', '0.3924')","('0.6579', '0.1182', '0.4639')","('0.6691', '0.1243', '0.4627')","('0.6793', '0.1319', '0.4628')","('0.6252', '0.0963', '0.4365')","('0.6124', '0.0881', '0.4348')","('0.5998', '0.0791', '0.4335')","('0.6719', '0.1417', '0.7456')","('0.5631', '0.0672', '0.6317')","('0.6133', '0.1683', '0.5101')","('0.5704', '0.1415', '0.4666')","('0.5937', '0.3299', '0.8105')","('0.3620', '0.1124', '0.5058')","('0.5240', '0.6104', '0.8458')","('0.2719', '0.2888', '0.1699')","('0.5157', '0.7833', '0.5341')","('0.6182', '0.3065', '-0.1263')","('0.5141', '0.8510', '0.5069')","('0.7709', '0.3157', '-0.2580')","('0.5220', '0.8572', '0.4243')","('0.7487', '0.2819', '-0.1820')","('0.5248', '0.8250', '0.4994')","('0.7376', '0.2853', '-0.1111')","('0.1086', '0.6485', '0.0845')","('-0.0608', '0.4929', '-0.0858')","('-0.2739', '1.1040', '0.0090')","('-0.5019', '0.8315', '-0.2276')","('-0.6557', '1.3593', '0.5959')","('-0.9027', '1.0694', '0.4068')","('-0.6957', '1.3925', '0.6433')","('-0.9611', '1.1027', '0.4726')","('-0.8637', '1.4131', '0.3044')","('-1.0117', '1.1886', '0.1790')"
frame_000333.jpg,"('0.5642', '0.2278', '0.1774')","('0.6163', '0.2289', '0.2092')","('0.6240', '0.2389', '0.2079')","('0.6300', '0.2499', '0.2080')","('0.6002', '0.2015', '0.2123')","('0.5944', '0.1913', '0.2101')","('0.5892', '0.1803', '0.2086')","('0.6331', '0.2669', '0.4169')","('0.5799', '0.1698', '0.4376')","('0.5471', '0.2580', '0.2781')","('0.5243', '0.2209', '0.2714')","('0.5070', '0.3778', '0.4497')","('0.4221', '0.1644', '0.4749')","('0.4493', '0.4955', '0.6427')","('0.3135', '0.1777', '0.5321')","('0.4214', '0.4675', '0.8866')","('0.2982', '0.2671', '0.5375')","('0.3839', '0.4555', '0.9059')","('0.2720', '0.2939', '0.4697')","('0.4210', '0.4439', '0.8583')","('0.2878', '0.2991', '0.4701')","('0.4300', '0.4446', '0.8787')","('0.2994', '0.2969', '0.5267')","('-0.2071', '0.5406', '-0.0253')","('-0.2662', '0.3844', '0.0236')","('-0.7265', '0.7240', '0.3055')","('-0.7998', '0.4630', '-0.0926')","('-1.1974', '0.7965', '0.8974')","('-1.2376', '0.5653', '0.4032')","('-1.2535', '0.8166', '0.9509')","('-1.3136', '0.5900', '0.4573')","('-1.3973', '0.7753', '0.8142')","('-1.3797', '0.5679', '0.3233')"
frame_000350.jpg,"('0.5013', '0.0942', '0.8031')","('0.4861', '0.0846', '0.7555')","('0.4759', '0.0853', '0.7551')","('0.4654', '0.0861', '0.7551')","('0.5151', '0.0836', '0.7449')","('0.5260', '0.0839', '0.7443')","('0.5371', '0.0843', '0.7441')","('0.4447', '0.0987', '0.5039')","('0.5469', '0.0982', '0.4548')","('0.4856', '0.1120', '0.7289')","('0.5150', '0.1105', '0.7096')","('0.3660', '0.2098', '0.3325')","('0.6462', '0.1965', '0.1547')","('0.2620', '0.3340', '0.2918')","('0.7393', '0.3209', '-0.1232')","('0.1535', '0.4350', '0.3270')","('0.8324', '0.4339', '-0.2138')","('0.1228', '0.4636', '0.3060')","('0.8689', '0.4624', '-0.2908')","('0.1286', '0.4717', '0.2980')","('0.8653', '0.4636', '-0.2515')","('0.1443', '0.4607', '0.3304')","('0.8444', '0.4538', '-0.2034')","('0.4140', '0.4325', '0.0770')","('0.5812', '0.4256', '-0.0777')","('0.4631', '0.6589', '0.1708')","('0.5356', '0.6539', '-0.0694')","('0.4922', '0.8632', '0.1892')","('0.5091', '0.8500', '-0.0775')","('0.4935', '0.8934', '0.1794')","('0.5003', '0.8867', '-0.0820')","('0.4326', '0.9074', '0.0155')","('0.5259', '0.9020', '-0.2387')"
frame_000354.jpg,"('0.5153', '0.1065', '0.9152')","('0.5009', '0.0955', '0.8578')","('0.4905', '0.0958', '0.8571')","('0.4796', '0.0961', '0.8572')","('0.5281', '0.0949', '0.8738')","('0.5383', '0.0949', '0.8731')","('0.5489', '0.0948', '0.8729')","('0.4640', '0.1067', '0.5598')","('0.5639', '0.1069', '0.6338')","('0.5006', '0.1235', '0.8231')","('0.5290', '0.1229', '0.8387')","('0.3802', '0.2147', '0.2681')","('0.6670', '0.2103', '0.4365')","('0.2313', '0.3344', '0.1681')","('0.7816', '0.3325', '0.2759')","('0.1407', '0.4474', '0.1610')","('0.8563', '0.4426', '0.2211')","('0.1128', '0.4765', '0.1242')","('0.8843', '0.4737', '0.1779')","('0.1228', '0.4827', '0.1278')","('0.8636', '0.4772', '0.1782')","('0.1430', '0.4712', '0.1713')","('0.8460', '0.4668', '0.2162')","('0.4392', '0.4396', '-0.0477')","('0.6101', '0.4342', '0.0466')","('0.4740', '0.6252', '-0.1749')","('0.5398', '0.6329', '-0.0518')","('0.5313', '0.8551', '-0.5050')","('0.5343', '0.8480', '-0.2282')","('0.5354', '0.8858', '-0.5500')","('0.5154', '0.9152', '-0.2522')","('0.4544', '0.9149', '-0.7336')","('0.5318', '0.9194', '-0.3963')"
frame_000355.jpg,"('0.5370', '0.1055', '0.7619')","('0.5198', '0.0944', '0.7035')","('0.5081', '0.0947', '0.7028')","('0.4967', '0.0949', '0.7028')","('0.5497', '0.0935', '0.7197')","('0.5597', '0.0934', '0.7188')","('0.5705', '0.0932', '0.7184')","('0.4802', '0.1067', '0.4188')","('0.5851', '0.1055', '0.4933')","('0.5209', '0.1232', '0.6744')","('0.5489', '0.1218', '0.6900')","('0.3912', '0.2121', '0.1701')","('0.6810', '0.2130', '0.2899')","('0.2191', '0.3290', '0.0756')","('0.7921', '0.3229', '0.1474')","('0.1200', '0.4432', '0.0866')","('0.8762', '0.4251', '0.1399')","('0.0976', '0.4713', '0.0634')","('0.9023', '0.4562', '0.1052')","('0.1121', '0.4784', '0.0580')","('0.8900', '0.4552', '0.1213')","('0.1307', '0.4678', '0.0930')","('0.8730', '0.4444', '0.1443')","('0.4285', '0.4428', '-0.0429')","('0.5940', '0.4454', '0.0417')","('0.4198', '0.6695', '-0.0927')","('0.5229', '0.6648', '-0.0916')","('0.5148', '0.8567', '-0.3075')","('0.5176', '0.8626', '-0.4001')","('0.5215', '0.8814', '-0.3354')","('0.5149', '0.8987', '-0.4313')","('0.4160', '0.9154', '-0.4548')","('0.5230', '0.9513', '-0.5597')"
frame_000491.jpg,"('0.4886', '0.1074', '0.7145')","('0.4756', '0.0947', '0.6752')","('0.4674', '0.0948', '0.6748')","('0.4596', '0.0950', '0.6747')","('0.5018', '0.0949', '0.6627')","('0.5127', '0.0953', '0.6622')","('0.5233', '0.0958', '0.6620')","('0.4467', '0.1043', '0.4623')","('0.5348', '0.1041', '0.4050')","('0.4750', '0.1231', '0.6524')","('0.5037', '0.1231', '0.6317')","('0.3681', '0.2147', '0.3324')","('0.6243', '0.2065', '0.1363')","('0.2962', '0.3368', '0.3274')","('0.6923', '0.3293', '-0.0766')","('0.1945', '0.4337', '0.3905')","('0.8283', '0.4211', '-0.1423')","('0.1526', '0.4558', '0.3716')","('0.8747', '0.4459', '-0.2155')","('0.1574', '0.4553', '0.3726')","('0.8809', '0.4434', '-0.1733')","('0.1714', '0.4491', '0.3975')","('0.8615', '0.4375', '-0.1290')","('0.4325', '0.4413', '0.0909')","('0.5741', '0.4306', '-0.0915')","('0.4709', '0.6431', '0.1883')","('0.5397', '0.6354', '-0.0427')","('0.5021', '0.8342', '0.1960')","('0.4904', '0.8307', '-0.0011')","('0.5044', '0.8553', '0.1876')","('0.4632', '0.8590', '-0.0004')","('0.4953', '0.8680', '0.0538')","('0.5240', '0.8807', '-0.1354')"
frame_000492.jpg,"('0.4892', '0.1066', '0.6427')","('0.4749', '0.0931', '0.5967')","('0.4665', '0.0933', '0.5963')","('0.4584', '0.0936', '0.5963')","('0.5024', '0.0929', '0.5873')","('0.5137', '0.0933', '0.5868')","('0.5248', '0.0939', '0.5866')","('0.4446', '0.1032', '0.3674')","('0.5402', '0.1046', '0.3251')","('0.4763', '0.1224', '0.5760')","('0.5048', '0.1223', '0.5595')","('0.3635', '0.2151', '0.2444')","('0.6270', '0.2098', '0.0994')","('0.2902', '0.3413', '0.2541')","('0.6942', '0.3326', '-0.0302')","('0.1939', '0.4384', '0.3332')","('0.8170', '0.4302', '-0.0065')","('0.1536', '0.4594', '0.3159')","('0.8574', '0.4511', '-0.0610')","('0.1587', '0.4585', '0.3162')","('0.8641', '0.4500', '-0.0283')","('0.1744', '0.4536', '0.3403')","('0.8434', '0.4445', '0.0059')","('0.4182', '0.4310', '0.0786')","('0.5711', '0.4240', '-0.0792')","('0.4659', '0.6349', '0.2286')","('0.6207', '0.5521', '0.0064')","('0.4923', '0.8250', '0.2018')","('0.5301', '0.7310', '0.0809')","('0.4957', '0.8462', '0.1890')","('0.4999', '0.7576', '0.0867')","('0.4583', '0.8591', '0.0536')","('0.5470', '0.7679', '0.0050')"
frame_000493.jpg,"('0.4931', '0.1073', '0.3525')","('0.4780', '0.0935', '0.3055')","('0.4691', '0.0940', '0.3051')","('0.4604', '0.0945', '0.3048')","('0.5052', '0.0928', '0.3073')","('0.5151', '0.0934', '0.3069')","('0.5247', '0.0944', '0.3067')","('0.4467', '0.1037', '0.0836')","('0.5392', '0.1057', '0.0976')","('0.4794', '0.1238', '0.2855')","('0.5080', '0.1231', '0.2854')","('0.3609', '0.2175', '-0.0509')","('0.6253', '0.2074', '-0.0188')","('0.2839', '0.3426', '-0.0890')","('0.6953', '0.3313', '-0.1268')","('0.1838', '0.4440', '0.0424')","('0.7948', '0.4278', '-0.0781')","('0.1556', '0.4711', '0.0329')","('0.8380', '0.4533', '-0.0993')","('0.1380', '0.4623', '0.0431')","('0.8297', '0.4528', '-0.0929')","('0.1730', '0.4573', '0.0548')","('0.8121', '0.4449', '-0.0753')","('0.4188', '0.4167', '0.0122')","('0.5706', '0.4109', '-0.0127')","('0.2668', '0.4809', '0.1230')","('0.7806', '0.4490', '0.0288')","('0.3814', '0.4606', '-0.2061')","('0.8630', '0.4663', '-0.3199')","('0.4174', '0.4602', '-0.2398')","('0.8570', '0.4708', '-0.3494')","('0.3674', '0.4318', '-0.1975')","('0.8868', '0.4475', '-0.3189')"
frame_000494.jpg,"('0.4897', '0.1093', '0.7677')","('0.4736', '0.0967', '0.7279')","('0.4634', '0.0971', '0.7275')","('0.4534', '0.0975', '0.7276')","('0.5046', '0.0952', '0.7194')","('0.5158', '0.0952', '0.7188')","('0.5266', '0.0957', '0.7187')","('0.4385', '0.1090', '0.5033')","('0.5412', '0.1083', '0.4651')","('0.4732', '0.1262', '0.7016')","('0.5056', '0.1251', '0.6859')","('0.3564', '0.2265', '0.3512')","('0.6333', '0.2171', '0.1981')","('0.2802', '0.3561', '0.3448')","('0.7010', '0.3488', '0.0022')","('0.1766', '0.4526', '0.4109')","('0.8221', '0.4533', '-0.0549')","('0.1369', '0.4762', '0.3935')","('0.8648', '0.4784', '-0.1270')","('0.1386', '0.4755', '0.3908')","('0.8708', '0.4779', '-0.0920')","('0.1554', '0.4694', '0.4176')","('0.8525', '0.4721', '-0.0442')","('0.4067', '0.4469', '0.0683')","('0.5573', '0.4467', '-0.0690')","('0.4459', '0.6506', '0.1898')","('0.5222', '0.6530', '-0.0289')","('0.4985', '0.8485', '0.2589')","('0.5073', '0.8530', '0.0234')","('0.5081', '0.8692', '0.2556')","('0.4822', '0.9022', '0.0236')","('0.4521', '0.8938', '0.1072')","('0.5166', '0.9047', '-0.1353')"
